Sample,DiD,MouseID,Batch,Date
X1C_Hi_10_2150_SMART19_12_15,X1C_Hi_10_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_10_2151_SMART18_12_15,X1C_Hi_10_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_11_2150_SMART19_12_15,X1C_Hi_11_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_1_2151_SMART10_12_15,X1C_Hi_1_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_1_2151_SMART18_12_15,X1C_Hi_1_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_12_2150_SMART19_12_15,X1C_Hi_12_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_12_2151_SMART18_12_15,X1C_Hi_12_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_14_2149_SMART19_12_15,X1C_Hi_14_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_2_2149_SMART04_01_16,X1C_Hi_2_2149_SMART04_01_16,Dormant,2149,B4,04_01_16
X1C_Hi_2_2149_SMART19_12_15,X1C_Hi_2_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_2_2150_SMART19_12_15,X1C_Hi_2_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_2_2151_SMART18_12_15,X1C_Hi_2_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_3_2149_SMART19_12_15,X1C_Hi_3_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_3_2150_SMART19_12_15,X1C_Hi_3_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_3_2151_SMART10_12_15,X1C_Hi_3_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_3_2151_SMART18_12_15,X1C_Hi_3_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_4_2149_SMART04_01_16,X1C_Hi_4_2149_SMART04_01_16,Dormant,2149,B4,04_01_16
X1C_Hi_4_2151_SMART10_12_15,X1C_Hi_4_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_4_2151_SMART18_12_15,X1C_Hi_4_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_5_2149_SMART19_12_15,X1C_Hi_5_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_5_2151_SMART10_12_15,X1C_Hi_5_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_5_2151_SMART18_12_15,X1C_Hi_5_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_6_2149_SMART04_01_16,X1C_Hi_6_2149_SMART04_01_16,Dormant,2149,B4,04_01_16
X1C_Hi_6_2149_SMART19_12_15,X1C_Hi_6_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_6_2150_SMART19_12_15,X1C_Hi_6_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_6_2151_SMART10_12_15,X1C_Hi_6_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_6_2151_SMART18_12_15,X1C_Hi_6_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Hi_7_2149_SMART19_12_15,X1C_Hi_7_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_7_2150_SMART19_12_15,X1C_Hi_7_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_7_2151_SMART10_12_15,X1C_Hi_7_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_8_2149_SMART19_12_15,X1C_Hi_8_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_8_2150_SMART19_12_15,X1C_Hi_8_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_8_2151_SMART10_12_15,X1C_Hi_8_2151_SMART10_12_15,Dormant,2151,B1,10_12_15
X1C_Hi_9_2149_SMART19_12_15,X1C_Hi_9_2149_SMART19_12_15,Dormant,2149,B3,19_12_15
X1C_Hi_9_2150_SMART19_12_15,X1C_Hi_9_2150_SMART19_12_15,Dormant,2150,B3,19_12_15
X1C_Hi_9_2151_SMART18_12_15,X1C_Hi_9_2151_SMART18_12_15,Dormant,2151,B2,18_12_15
X1C_Neg_11_2149_SMART04_01_16,X1C_Neg_11_2149_SMART04_01_16,Proliferating,2149,B4,04_01_16
X1C_Neg_11_2151_SMART10_12_15,X1C_Neg_11_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_12_2151_SMART10_12_15,X1C_Neg_12_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_13_2149_SMART04_01_16,X1C_Neg_13_2149_SMART04_01_16,Proliferating,2149,B4,04_01_16
X1C_Neg_13_2151_SMART10_12_15,X1C_Neg_13_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_14_2149_SMART04_01_16,X1C_Neg_14_2149_SMART04_01_16,Proliferating,2149,B4,04_01_16
X1C_Neg_14_2151_SMART10_12_15,X1C_Neg_14_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_14_2151_SMART18_12_15,X1C_Neg_14_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_15_2150_SMART19_12_15,X1C_Neg_15_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_15_2151_SMART10_12_15,X1C_Neg_15_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_15_2151_SMART18_12_15,X1C_Neg_15_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_16_2150_SMART19_12_15,X1C_Neg_16_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_16_2151_SMART10_12_15,X1C_Neg_16_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
X1C_Neg_16_2151_SMART18_12_15,X1C_Neg_16_2151_SMART18_12_15,Proliferating,2151,B2,18_12_15
X1C_Neg_17_2150_SMART19_12_15,X1C_Neg_17_2150_SMART19_12_15,Proliferating,2150,B3,19_12_15
X1C_Neg_17_2151_SMART10_12_15,X1C_Neg_17_2151_SMART10_12_15,Proliferating,2151,B1,10_12_15
