Sample,DiD,PlateID,Batch
S19_Neg_P0_B12_B1,S19_Neg_P0_B12_B1,Reactivated,P0,B1
S21_Hi_P0_C3_B1,S21_Hi_P0_C3_B1,Dormant,P0,B1
S23_Hi_P0_C7_B1,S23_Hi_P0_C7_B1,Dormant,P0,B1
S25_Hi_P0_C9_B1,S25_Hi_P0_C9_B1,Dormant,P0,B1
S27_Hi_P0_C11_B1,S27_Hi_P0_C11_B1,Dormant,P0,B1
S29_Hi_P0_D5_B1,S29_Hi_P0_D5_B1,Dormant,P0,B1
S31_Hi_P0_D7_B1,S31_Hi_P0_D7_B1,Dormant,P0,B1
S33_Hi_P1_A2_B2,S33_Hi_P1_A2_B2,Dormant,P1,B2
S35_Hi_P1_A5_B2,S35_Hi_P1_A5_B2,Dormant,P1,B2
S37_Hi_P1_B5_B2,S37_Hi_P1_B5_B2,Dormant,P1,B2
S01_Neg_P0_A1_B1,S01_Neg_P0_A1_B1,Reactivated,P0,B1
S39_Neg_P1_C4_B2,S39_Neg_P1_C4_B2,Reactivated,P1,B2
S41_Hi_P1_A1_B4,S41_Hi_P1_A1_B4,Dormant,P1,B4
S43_Hi_P1_A3_B4,S43_Hi_P1_A3_B4,Dormant,P1,B4
S45_Hi_P1_A5_B4,S45_Hi_P1_A5_B4,Dormant,P1,B4
S47_Hi_P1_B2_B4,S47_Hi_P1_B2_B4,Dormant,P1,B4
S49_Hi_P4_B6_B4,S49_Hi_P4_B6_B4,Dormant,P4,B4
S51_Neg_P4_C3_B4,S51_Neg_P4_C3_B4,Reactivated,P4,B4
S53_Neg_P4_D1_B4,S53_Neg_P4_D1_B4,Reactivated,P4,B4
S55_Neg_P4_D5_B4,S55_Neg_P4_D5_B4,Reactivated,P4,B4
S57_Hi_P5_A1_B2,S57_Hi_P5_A1_B2,Dormant,P5,B2
S03_Neg_P0_A3_B1,S03_Neg_P0_A3_B1,Reactivated,P0,B1
S59_Hi_P5_A5_B2,S59_Hi_P5_A5_B2,Dormant,P5,B2
S61_Hi_P5_B6_B2,S61_Hi_P5_B6_B2,Dormant,P5,B2
S63_Neg_P5_C5_B2,S63_Neg_P5_C5_B2,Reactivated,P5,B2
S65_Neg_P5_D2_B2,S65_Neg_P5_D2_B2,Reactivated,P5,B2
S67_Neg_P5_D4_B2,S67_Neg_P5_D4_B2,Reactivated,P5,B2
S69_Hi_P6_A2_B3,S69_Hi_P6_A2_B3,Dormant,P6,B3
S71_Hi_P6_A4_B3,S71_Hi_P6_A4_B3,Dormant,P6,B3
S73_Hi_P6_A6_B3,S73_Hi_P6_A6_B3,Dormant,P6,B3
S75_Hi_P6_B6_B3,S75_Hi_P6_B6_B3,Dormant,P6,B3
S77_Neg_P6_C6_B3,S77_Neg_P6_C6_B3,Reactivated,P6,B3
S05_Neg_P0_A5_B1,S05_Neg_P0_A5_B1,Reactivated,P0,B1
S79_Neg_P6_D3_B3,S79_Neg_P6_D3_B3,Reactivated,P6,B3
S81_Hi_P7_A1_B3,S81_Hi_P7_A1_B3,Dormant,P7,B3
S83_Hi_P7_A5_B3,S83_Hi_P7_A5_B3,Dormant,P7,B3
S85_Hi_P7_B4_B3,S85_Hi_P7_B4_B3,Dormant,P7,B3
S87_Neg_P7_C5_B3,S87_Neg_P7_C5_B3,Reactivated,P7,B3
S89_Neg_P7_D1_B3,S89_Neg_P7_D1_B3,Reactivated,P7,B3
S91_Neg_P7_D4_B3,S91_Neg_P7_D4_B3,Reactivated,P7,B3
S02_Neg_P0_A2_B1,S02_Neg_P0_A2_B1,Reactivated,P0,B1
S04_Neg_P0_A4_B1,S04_Neg_P0_A4_B1,Reactivated,P0,B1
S06_Neg_P0_A6_B1,S06_Neg_P0_A6_B1,Reactivated,P0,B1
S07_Neg_P0_A8_B1,S07_Neg_P0_A8_B1,Reactivated,P0,B1
S08_Neg_P0_A11_B1,S08_Neg_P0_A11_B1,Reactivated,P0,B1
S10_Neg_P0_B1_B1,S10_Neg_P0_B1_B1,Reactivated,P0,B1
S12_Neg_P0_B3_B1,S12_Neg_P0_B3_B1,Reactivated,P0,B1
S14_Neg_P0_B5_B1,S14_Neg_P0_B5_B1,Reactivated,P0,B1
S16_Neg_P0_B7_B1,S16_Neg_P0_B7_B1,Reactivated,P0,B1
S18_Neg_P0_B10_B1,S18_Neg_P0_B10_B1,Reactivated,P0,B1
S20_Hi_P0_C1_B1,S20_Hi_P0_C1_B1,Dormant,P0,B1
S22_Hi_P0_C6_B1,S22_Hi_P0_C6_B1,Dormant,P0,B1
S24_Hi_P0_C8_B1,S24_Hi_P0_C8_B1,Dormant,P0,B1
