SeqID,Ref,Label,Cell,cDNA.Batch,Index.1,Index.2,Qubit,Ave.Size,Molarity,X4nM,Lib,ddH2O,Pool,People,genecounts.ID,Sample
7,CMI-030,RM1-22,DIDL,sc1,24/5/18,S510,N710,15.3,737,31.45429875,7.863574689,1,6.9,FD02703014,Aurelie,RM1_22_I_sc,RM1_22_I_sc
8,CMI-031,RM1-24,DIDH,sc1,24/5/18,S511,N710,11.6,932,18.85810899,4.714527247,1,3.7,FD02703014,Aurelie,RM1_24_D_sc,RM1_24_D_sc
9,CMI-032,RM1-26,DID-,sc1,24/5/18,S502,N707,13.9,872,24.15207117,6.038017793,1,5,FD02703014,Aurelie,RM1_26_P_sc,RM1_26_P_sc
10,CMI-033,RM1-28,DID-,sc3,24/5/18,S503,N707,15.7,887,26.81835264,6.704588159,1,5.7,FD02703014,Aurelie,RM1_28_P_sc,RM1_28_P_sc
11,CMI-034,RM1-29,DIDL,sc1,24/5/18,S505,N707,15.2,741,31.08003108,7.77000777,1,6.8,FD02703014,Aurelie,RM1_29_I_sc,RM1_29_I_sc
12,CMI-035,RM1-32,DIDH,sc1,24/5/18,S506,N707,16.6,850,29.59001783,7.397504456,1,6.4,FD02703014,Aurelie,RM1_32_D_sc,RM1_32_D_sc
13,CMI-036,RM1-34,DIDH,sc3,24/5/18,S507,N707,11.4,564,30.62540297,7.656350741,1,6.7,FD02703014,Aurelie,RM1_34_D_sc,RM1_34_D_sc
14,CMI-037,RM1-36,DID-,sc1,30/5/18,S508,N707,24.8,689,54.53665831,13.63416458,1,12.6,FD02703014,Aurelie,RM1_36_P_sc,RM1_36_P_sc
15,CMI-038,RM1-38,DID-,sc3,30/5/18,S510,N707,16.4,663,37.47886101,9.369715252,1,8.4,FD02703014,Aurelie,RM1_38_P_sc,RM1_38_P_sc
16,CMI-039,RM1-40,DID-,sc5,30/5/18,S511,N707,16.7,801,31.58930125,7.897325313,1,6.9,FD02703014,Aurelie,RM1_40_P_sc,RM1_40_P_sc
17,CMI-040,RM1-42,DIDL,sc1,30/5/18,S502,N706,17.5,907,29.23390465,7.308476162,1,6.3,FD02703014,Aurelie,RM1_42_I_sc,RM1_42_I_sc
18,CMI-041,RM1-44,DIDL,sc3,30/5/18,S503,N706,10.6,982,16.35499599,4.088748997,1,3.1,FD02703014,Aurelie,RM1_44_I_sc,RM1_44_I_sc
19,CMI-042,RM1-46,DIDL,sc5,30/5/18,S505,N706,15,665,34.17634997,8.544087491,1,7.5,FD02703014,Aurelie,RM1_46_I_sc,RM1_46_I_sc
20,CMI-043,RM1-49,DIDH,sc1,30/5/18,S506,N706,11.2,877,19.34971148,4.83742787,1,3.8,FD02703014,Aurelie,RM1_49_D_sc,RM1_49_D_sc
21,CMI-044,RM1-51,DIDH,sc3,30/5/18,S507,N706,39.8,808,74.63246325,18.65811581,1,17.7,FD02703014,Aurelie,RM1_51_D_sc,RM1_51_D_sc
22,CMI-045,RM1-53,DIDH,sc5,30/5/18,S508,N706,11.2,556,30.52103772,7.630259429,1,6.6,FD02703014,Aurelie,RM1_53_D_sc,RM1_53_D_sc
23,CMI-046,RM1-56,DIDL,sc1,31/5/18,S510,N706,28.4,806,53.38747274,13.34686819,1,12.3,FD02703014,Aurelie,RM1_56_I_sc,RM1_56_I_sc
24,CMI-047,RM1-58,DIDH,sc1,31/5/18,S511,N706,12,906,20.06823199,5.017057997,1,4,FD02703014,Aurelie,RM1_58_D_sc,RM1_58_D_sc
25,CMI-048,RM1-60,DIDH,sc3,31/5/18,S502,N705,19.9,900,33.5016835,8.375420875,1,7.4,FD02703014,Aurelie,RM1_60_D_sc,RM1_60_D_sc
26,CMI-049,RM1-64,DIDL,sc3,31/5/18,S505,N705,30.4,793,58.08399251,14.52099813,1,13.5,FD02703014,Aurelie,RM1_64_I_sc,RM1_64_I_sc
27,CMI-050,RM1-65,DIDH,sc1,31/5/18,S506,N705,25.2,806,47.37198286,11.84299571,1,10.8,FD02703014,Aurelie,RM1_65_D_sc,RM1_65_D_sc
28,CMI-051,RM1-67,DIDH,sc3,31/5/18,S507,N705,24.6,825,45.17906336,11.29476584,1,10.3,FD02703014,Aurelie,RM1_67_D_sc,RM1_67_D_sc
29,CMI-052,RM1-69,DID-,sc1,31/5/18,S508,N705,14.2,785,27.40783633,6.851959081,1,5.9,FD02703014,Aurelie,RM1_69_P_sc,RM1_69_P_sc
30,CMI-053,RM1-72,DIDL,sc1,31/5/18,S510,N705,22.4,713,47.60083301,11.90020825,1,10.9,FD02703014,Aurelie,RM1_72_I_sc,RM1_72_I_sc
