"","orig.ident","nCount_RNA","nFeature_RNA","Sample","Sample_ID","Plate_ID","Well_ID","Tissue","Pop","Batch","percent.mt","RNA_snn_res.1.5","seurat_clusters","type"
"1","SeuratProject",4552768.95,4278,"S001_P3_F1_Bone_GFP_Batch1","S001","P3","F1","Bone","GFP","Batch1",0.106963697334124,"1","1","Other"
"2","SeuratProject",3031752.73,2790,"S002_P3_D2_Bone_td_Batch1","S002","P3","D2","Bone","td","Batch1",0.319192258136434,"2","2","Other"
"3","SeuratProject",4031762.17000001,2527,"S003_P3_E2_Bone_td_Batch1","S003","P3","E2","Bone","td","Batch1",0.0816739644144237,"4","4","Other"
"4","SeuratProject",3275342.9,3108,"S004_P3_F2_Bone_td_Batch1","S004","P3","F2","Bone","td","Batch1",0.246343062279067,"2","2","Other"
"5","SeuratProject",3464138.25,8392,"S005_P3_C3_Bone_ZolGFPtd_Batch1","S005","P3","C3","Bone","ZolGFPtd","Batch1",2.14124017712053,"6","6","Osteoclast"
"6","SeuratProject",2426313.96,3733,"S006_P3_D3_Bone_ZolGFPtd_Batch1","S006","P3","D3","Bone","ZolGFPtd","Batch1",1.52863275781507,"0","0","Osteoclast"
"7","SeuratProject",3918631.98000001,5951,"S007_P3_E3_Bone_ZolGFPtd_Batch1","S007","P3","E3","Bone","ZolGFPtd","Batch1",0.396817309697962,"0","0","Osteoclast"
"8","SeuratProject",5177823.92,6054,"S008_P3_F3_Bone_ZolGFPtd_Batch1","S008","P3","F3","Bone","ZolGFPtd","Batch1",0.471537085409424,"0","0","Osteoclast"
"9","SeuratProject",2763635.38,5368,"S009_P3_C4_Bone_ZolGFPtd_Batch1","S009","P3","C4","Bone","ZolGFPtd","Batch1",0.500497283400678,"0","0","Osteoclast"
"10","SeuratProject",4318808.66,5134,"S010_P3_D4_Bone_ZolGFPtd_Batch1","S010","P3","D4","Bone","ZolGFPtd","Batch1",0.756227297182459,"0","0","Osteoclast"
"11","SeuratProject",5638908.77,5496,"S011_P3_E4_Bone_ZolGFPtd_Batch1","S011","P3","E4","Bone","ZolGFPtd","Batch1",0.421606217970432,"0","0","Osteoclast"
"12","SeuratProject",2001379.3,6479,"S012_P3_F4_Bone_ZolGFPtd_Batch1","S012","P3","F4","Bone","ZolGFPtd","Batch1",0.478180722664615,"0","0","Osteoclast"
"13","SeuratProject",4807602.47,3240,"S013_P3_D7_Marrow_td_Batch1","S013","P3","D7","Marrow","td","Batch1",0.266269935583921,"2","2","Other"
"14","SeuratProject",2827656.2,5037,"S014_P3_E7_Marrow_td_Batch1","S014","P3","E7","Marrow","td","Batch1",0.129367212322347,"3","3","Other"
"15","SeuratProject",2483886.7,1911,"S015_P3_F7_Marrow_td_Batch1","S015","P3","F7","Marrow","td","Batch1",0.175578459355654,"2","2","Other"
"16","SeuratProject",5269221.43999999,6308,"S016_P3_D8_Marrow_ZolGFPtd_Batch1","S016","P3","D8","Marrow","ZolGFPtd","Batch1",0.897665443341096,"0","0","Osteomorph"
"17","SeuratProject",3582888.89,7735,"S017_P3_E8_Marrow_ZolGFPtd_Batch1","S017","P3","E8","Marrow","ZolGFPtd","Batch1",0.688668020626227,"3","3","Osteomorph"
"18","SeuratProject",2995297.89,8055,"S018_P3_F8_Marrow_ZolGFPtd_Batch1","S018","P3","F8","Marrow","ZolGFPtd","Batch1",0.631915779168128,"1","1","Osteomorph"
"19","SeuratProject",5821670.29,5518,"S019_P3_D9_Marrow_ZolGFPtd_Batch1","S019","P3","D9","Marrow","ZolGFPtd","Batch1",0.406973236541707,"3","3","Osteomorph"
"20","SeuratProject",3106646.42,6827,"S020_P3_E9_Marrow_ZolGFPtd_Batch1","S020","P3","E9","Marrow","ZolGFPtd","Batch1",0.59987547601249,"0","0","Osteomorph"
"21","SeuratProject",3952402.02000001,6395,"S021_P3_F9_Marrow_ZolGFPtd_Batch1","S021","P3","F9","Marrow","ZolGFPtd","Batch1",0.314593756836507,"3","3","Osteomorph"
"22","SeuratProject",5087533.9,5509,"S022_P4_F1_Bone_GFP_Batch1","S022","P4","F1","Bone","GFP","Batch1",0.663115188284053,"1","1","Other"
"23","SeuratProject",3774528.1,5247,"S023_P4_C3_Bone_ZolGFPtd_Batch1","S023","P4","C3","Bone","ZolGFPtd","Batch1",0.621336744055501,"0","0","Osteoclast"
"24","SeuratProject",6333979.94,4539,"S024_P4_E3_Bone_ZolGFPtd_Batch1","S024","P4","E3","Bone","ZolGFPtd","Batch1",0.319789298227553,"0","0","Osteoclast"
"25","SeuratProject",4401174.3,4397,"S025_P4_F3_Bone_ZolGFPtd_Batch1","S025","P4","F3","Bone","ZolGFPtd","Batch1",0.507897403654293,"6","6","Osteoclast"
"26","SeuratProject",4495521.81000001,6309,"S026_P4_C4_Bone_ZolGFPtd_Batch1","S026","P4","C4","Bone","ZolGFPtd","Batch1",0.472142965757293,"0","0","Osteoclast"
"27","SeuratProject",3169403.94,3038,"S027_P4_E4_Bone_ZolGFPtd_Batch1","S027","P4","E4","Bone","ZolGFPtd","Batch1",0.108062905986038,"1","1","Osteoclast"
"28","SeuratProject",3221616.94,4530,"S028_P4_F4_Bone_ZolGFPtd_Batch1","S028","P4","F4","Bone","ZolGFPtd","Batch1",0.233769567899031,"0","0","Osteoclast"
"29","SeuratProject",6166709.51,7059,"S029_P4_E7_Marrow_td_Batch1","S029","P4","E7","Marrow","td","Batch1",0.434415792677739,"3","3","Other"
